1,0
2,1
3,2
4,4
5,2
6,4
7,6
8,5
9,15
10,20
11,25
12,43
13,42
14,71
15,108
16,121
17,183
18,262
19,393
20,519
21,657
22,922
23,1146
24,1501
25,1978
26,2487
27,3177
28,4082
29,4849
30,5948
31,7234
32,8440
33,10325
34,11936
35,13986
36,15988
37,18086
38,20810
39,23020
40,25316
41,27507
42,30554
43,32429
44,34274
45,35971
46,37502
47,38809
48,39475
49,40148
50,39761
51,39515
52,38466
53,37440
54,35866
55,34237
56,32164
57,29946
58,27983
59,25316
60,22903
61,20498
62,18263
63,16072
64,13848
65,12080
66,10287
67,8721
68,7268
69,6017
70,4938
71,3984
72,3176
73,2584
74,1955
75,1586
76,1231
77,906
78,690
79,561
80,368
81,271
82,209
83,141
84,110
85,70
86,60
87,45
88,31
89,18
90,8
91,10
92,4
93,3
94,3
95,1
96,2
97,0
98,0
99,0
