1, 10073
2, 10166
3, 10056
4, 10034
5, 10171
6, 10249
7, 10011
8, 10175
9, 10100
10, 10201
11, 10105
12, 10159
13, 9938
14, 10133
15, 9960
16, 9948
17, 10100
18, 10222
19, 10115
20, 10164
21, 10135
22, 10092
23, 10105
24, 10306
25, 10095
26, 10110
27, 9998
28, 10060
29, 10104
30, 10164
31, 10036
32, 10120
33, 10096
34, 10069
35, 10141
36, 10036
37, 10178
38, 9869
39, 10118
40, 10076
41, 10063
42, 10062
43, 10034
44, 10065
45, 10124
46, 9802
47, 10117
48, 9988
49, 10087
50, 10064
51, 10174
52, 10282
53, 10111
54, 10118
55, 10099
56, 10207
57, 9948
58, 10108
59, 10045
60, 10213
61, 10049
62, 10158
63, 10051
64, 10025
65, 10073
66, 10087
67, 10220
68, 10002
69, 10144
70, 10188
71, 10220
72, 9931
73, 10089
74, 10007
75, 9930
76, 10135
77, 9990
78, 9927
79, 10101
80, 10337
81, 10036
82, 10139
83, 10197
84, 10218
85, 10149
86, 10053
87, 10156
88, 10206
89, 10104
90, 10164
91, 10093
92, 10220
93, 10117
94, 10110
95, 10022
96, 10313
97, 9964
98, 10196
99, 10180
